sample_id,feature_type,block_index,layer_fraction,is_primary_block,similarity_1e5_to_clean,similarity_render_to_clean,delta_render_over_1e5,different_scene_1e5_to_clean,different_scene_render_to_clean,scene_advantage_1e5,scene_advantage_render,delta_scene_advantage,similarity_1e5_to_render,different_scene_target_sample_id
0060,raw,6,2/4,1,0.542972,0.751741,0.208769,0.508198,0.700461,0.034773,0.051280,0.016506,0.318556,6702
0060,centered,6,2/4,1,0.618813,0.763644,0.144831,0.586359,0.708147,0.032453,0.055497,0.023043,0.474059,6702
0060,raw,3,1/4,0,0.645473,0.763604,0.118132,0.635547,0.733493,0.009925,0.030111,0.020186,0.479768,6702
0060,centered,3,1/4,0,0.674039,0.810992,0.136953,0.665128,0.782006,0.008910,0.028986,0.020075,0.596194,6702
0072,raw,6,2/4,1,0.635320,0.798106,0.162785,0.553656,0.634225,0.081664,0.163881,0.082217,0.470551,6722
0072,centered,6,2/4,1,0.669215,0.791388,0.122173,0.560414,0.627637,0.108801,0.163751,0.054950,0.543844,6722
0072,raw,3,1/4,0,0.699811,0.799325,0.099514,0.621914,0.655129,0.077897,0.144196,0.066299,0.579234,6722
0072,centered,3,1/4,0,0.699271,0.826095,0.126823,0.579787,0.713967,0.119484,0.112127,-0.007357,0.606099,6722
0073,raw,6,2/4,1,0.322805,0.768496,0.445691,0.305964,0.718056,0.016841,0.050440,0.033599,0.221920,4068
0073,centered,6,2/4,1,0.476795,0.776057,0.299262,0.457819,0.724783,0.018976,0.051274,0.032298,0.460716,4068
0073,raw,3,1/4,0,0.539637,0.743625,0.203987,0.511959,0.687478,0.027678,0.056147,0.028468,0.413762,4068
0073,centered,3,1/4,0,0.643857,0.785769,0.141912,0.618704,0.730477,0.025152,0.055292,0.030139,0.553217,4068
0075,raw,6,2/4,1,0.434733,0.796481,0.361748,0.432123,0.730413,0.002610,0.066068,0.063458,0.281008,4027
0075,centered,6,2/4,1,0.544708,0.789712,0.245004,0.537063,0.730033,0.007645,0.059679,0.052034,0.448709,4027
0075,raw,3,1/4,0,0.563284,0.781601,0.218317,0.580314,0.749499,-0.017030,0.032103,0.049133,0.439317,4027
0075,centered,3,1/4,0,0.650562,0.813357,0.162795,0.653222,0.787400,-0.002660,0.025957,0.028616,0.571325,4027
0085,raw,6,2/4,1,0.358922,0.775784,0.416861,0.333946,0.746627,0.024976,0.029156,0.004181,0.273298,1785
0085,centered,6,2/4,1,0.489049,0.773689,0.284640,0.479617,0.743490,0.009432,0.030200,0.020767,0.480584,1785
0085,raw,3,1/4,0,0.575628,0.764878,0.189250,0.552130,0.730419,0.023498,0.034459,0.010961,0.468105,1785
0085,centered,3,1/4,0,0.643586,0.795907,0.152321,0.622946,0.763086,0.020640,0.032822,0.012182,0.548043,1785
0091,raw,6,2/4,1,0.632471,0.683582,0.051111,0.495148,0.622077,0.137323,0.061504,-0.075819,0.360549,6065
0091,centered,6,2/4,1,0.685034,0.714907,0.029873,0.559391,0.657270,0.125643,0.057637,-0.068006,0.544574,6065
0091,raw,3,1/4,0,0.708862,0.682445,-0.026418,0.577365,0.633980,0.131497,0.048465,-0.083032,0.488039,6065
0091,centered,3,1/4,0,0.692542,0.747522,0.054980,0.597214,0.698143,0.095328,0.049380,-0.045948,0.599034,6065
0131,raw,6,2/4,1,0.620904,0.807504,0.186600,0.547265,0.760006,0.073639,0.047498,-0.026142,0.451032,5429
0131,centered,6,2/4,1,0.665179,0.801450,0.136271,0.588636,0.755322,0.076543,0.046127,-0.030416,0.525539,5429
0131,raw,3,1/4,0,0.708519,0.806068,0.097549,0.651604,0.777932,0.056915,0.028136,-0.028779,0.572358,5429
0131,centered,3,1/4,0,0.713447,0.832747,0.119300,0.666189,0.809255,0.047257,0.023491,-0.023766,0.601826,5429
0147,raw,6,2/4,1,0.528103,0.747096,0.218993,0.388391,0.639500,0.139712,0.107596,-0.032117,0.304686,6405
0147,centered,6,2/4,1,0.642731,0.740334,0.097603,0.481073,0.653843,0.161659,0.086491,-0.075168,0.501272,6405
0147,raw,3,1/4,0,0.627626,0.750773,0.123147,0.546556,0.662590,0.081070,0.088183,0.007112,0.454407,6405
0147,centered,3,1/4,0,0.676059,0.789195,0.113136,0.590268,0.715586,0.085791,0.073609,-0.012182,0.592086,6405
0196,raw,6,2/4,1,0.520399,0.663470,0.143071,0.338520,0.698816,0.181879,-0.035346,-0.217225,0.225445,0380
0196,centered,6,2/4,1,0.612066,0.693360,0.081294,0.466969,0.692547,0.145097,0.000813,-0.144283,0.430449,0380
0196,raw,3,1/4,0,0.631580,0.679893,0.048313,0.536026,0.696659,0.095554,-0.016766,-0.112321,0.422196,0380
0196,centered,3,1/4,0,0.655373,0.747584,0.092211,0.613550,0.737215,0.041822,0.010369,-0.031453,0.560669,0380
0209,raw,6,2/4,1,0.400744,0.620031,0.219287,0.234201,0.689604,0.166542,-0.069574,-0.236116,0.135606,4327
0209,centered,6,2/4,1,0.531803,0.656509,0.124706,0.410676,0.677468,0.121127,-0.020959,-0.142086,0.399700,4327
0209,raw,3,1/4,0,0.558916,0.649228,0.090313,0.465108,0.686513,0.093807,-0.037285,-0.131092,0.360236,4327
0209,centered,3,1/4,0,0.620767,0.720219,0.099452,0.596523,0.724734,0.024244,-0.004515,-0.028759,0.530191,4327
0214,raw,6,2/4,1,0.541217,0.733212,0.191995,0.439065,0.662227,0.102152,0.070985,-0.031168,0.317551,4374
0214,centered,6,2/4,1,0.619249,0.748559,0.129309,0.523132,0.658844,0.096118,0.089714,-0.006403,0.461797,4374
0214,raw,3,1/4,0,0.660634,0.769337,0.108703,0.558599,0.681915,0.102035,0.087422,-0.014613,0.489841,4374
0214,centered,3,1/4,0,0.694141,0.816914,0.122772,0.595815,0.735502,0.098326,0.081412,-0.016914,0.588409,4374
0217,raw,6,2/4,1,0.619367,0.831288,0.211921,0.618590,0.789763,0.000777,0.041525,0.040749,0.469965,4211
0217,centered,6,2/4,1,0.671884,0.809647,0.137763,0.671454,0.765225,0.000430,0.044422,0.043992,0.547862,4211
0217,raw,3,1/4,0,0.695165,0.815077,0.119911,0.677783,0.777695,0.017382,0.037382,0.020000,0.544047,4211
0217,centered,3,1/4,0,0.709836,0.833712,0.123876,0.691805,0.803605,0.018030,0.030106,0.012076,0.601769,4211
0225,raw,6,2/4,1,0.646506,0.844184,0.197679,0.644396,0.770803,0.002109,0.073381,0.071272,0.493329,3240
0225,centered,6,2/4,1,0.690595,0.812398,0.121803,0.680306,0.742412,0.010289,0.069986,0.059697,0.549696,3240
0225,raw,3,1/4,0,0.692122,0.839051,0.146929,0.684056,0.765406,0.008067,0.073645,0.065579,0.559363,3240
0225,centered,3,1/4,0,0.712452,0.848047,0.135595,0.684188,0.787739,0.028264,0.060308,0.032044,0.606354,3240
