feature_type,block_index,layer_fraction,is_primary_block,metric,n,mean,std,sem,median,q1,q3,min,max,pct_positive,pct_negative,pct_tied,cohens_dz,wilcoxon_stat,wilcoxon_p,tie_tolerance
raw,6,2/4,1,similarity_1e5_to_clean,339,0.521832,0.135553,0.007362,0.520399,0.399836,0.638194,0.252076,0.812630,,,,,,,
raw,6,2/4,1,similarity_render_to_clean,339,0.784332,0.061239,0.003326,0.790044,0.744895,0.830281,0.572941,0.899943,,,,,,,
raw,6,2/4,1,delta_render_over_1e5,339,0.262500,0.136154,0.007395,0.256079,0.165375,0.368167,-0.043533,0.635664,98.230088,1.769912,0.000000,1.927962,54.000000,0.000000,0.001
raw,6,2/4,1,different_scene_1e5_to_clean,339,0.454632,0.142642,0.007747,0.449076,0.330620,0.580488,0.184709,0.750604,,,,,,,
raw,6,2/4,1,different_scene_render_to_clean,339,0.721082,0.066047,0.003587,0.730413,0.678817,0.767205,0.498887,0.876722,,,,,,,
raw,6,2/4,1,scene_advantage_1e5,339,0.067199,0.074450,0.004044,0.063689,0.017535,0.113026,-0.178162,0.336670,,,,,,,
raw,6,2/4,1,scene_advantage_render,339,0.063250,0.086689,0.004708,0.053182,0.000749,0.122368,-0.149290,0.333641,,,,,,,
raw,6,2/4,1,delta_scene_advantage,339,-0.003949,0.141776,0.007700,-0.008205,-0.099723,0.093371,-0.485960,0.511803,48.082596,51.622419,0.294985,-0.027855,27913.000000,0.617425,0.001
raw,6,2/4,1,similarity_1e5_to_render,339,0.349996,0.146668,0.007966,0.330814,0.226575,0.479868,0.109240,0.674517,,,,,,,
centered,6,2/4,1,similarity_1e5_to_clean,339,0.604454,0.086601,0.004704,0.605707,0.528814,0.677509,0.426603,0.791592,,,,,,,
centered,6,2/4,1,similarity_render_to_clean,339,0.780665,0.046495,0.002525,0.785596,0.748835,0.815633,0.632635,0.875812,,,,,,,
centered,6,2/4,1,delta_render_over_1e5,339,0.176211,0.092457,0.005022,0.168324,0.111148,0.241626,-0.016820,0.444474,98.230088,1.474926,0.294985,1.905862,37.000000,0.000000,0.001
