feature_type,layer_fraction,block_index,block_index_0based,similarity_1e5_vs_1e7,similarity_1e5_vs_render,similarity_1e7_vs_render,control_1e5_vs_1e7,control_1e5_vs_render,control_1e7_vs_render,gap_1e5_vs_1e7,gap_1e5_vs_render,gap_1e7_vs_render,n_control_scenes,pca1_vmin,pca1_vmax,pc1_explained_var_ratio
raw,1/4,3,2,0.5204,0.2254,0.6635,0.3508,0.1995,0.5929,0.1696,0.0259,0.0705,12,-63.9279,72.8164,0.3054
raw,2/4,6,5,0.6316,0.4222,0.6799,0.5328,0.4132,0.6203,0.0987,0.0090,0.0596,12,-66.7563,69.7593,0.1847
raw,3/4,9,8,0.5780,0.4876,0.6269,0.5250,0.4715,0.5822,0.0530,0.0162,0.0447,12,-61.5441,51.6406,0.1618
raw,4/4,12,11,0.4170,0.2404,0.3581,0.3671,0.2383,0.3140,0.0498,0.0021,0.0441,12,-27.2185,28.0789,0.1640
centered_per_domain,1/4,3,2,0.5819,0.5168,0.6558,0.4435,0.4867,0.5450,0.1385,0.0301,0.1109,12,-63.6876,58.2965,0.1788
centered_per_domain,2/4,6,5,0.6712,0.6203,0.7067,0.5953,0.6092,0.6267,0.0759,0.0112,0.0800,12,-66.8909,63.5840,0.1761
centered_per_domain,3/4,9,8,0.5460,0.5251,0.6085,0.4954,0.5025,0.5462,0.0506,0.0226,0.0623,12,-54.1544,55.7273,0.1619
centered_per_domain,4/4,12,11,0.2489,0.1837,0.2698,0.1801,0.1626,0.1842,0.0688,0.0211,0.0857,12,-30.1231,26.3535,0.1529
centered_global,1/4,3,2,0.4545,0.0848,0.5569,0.2296,0.0171,0.4381,0.2249,0.0677,0.1188,12,-63.9279,72.8164,0.3054
centered_global,2/4,6,5,0.6119,0.3605,0.6294,0.4841,0.3330,0.5480,0.1277,0.0275,0.0813,12,-66.7563,69.7593,0.1847
centered_global,3/4,9,8,0.5148,0.3891,0.5543,0.4271,0.3545,0.4923,0.0878,0.0346,0.0619,12,-61.5441,51.6406,0.1618
centered_global,4/4,12,11,0.1913,0.0388,0.1828,0.1086,0.0130,0.1038,0.0827,0.0258,0.0789,12,-27.2185,28.0789,0.1640
