feature_type,block_index,layer_fraction,is_primary_block,metric,n,mean,std,sem,median,q1,q3,min,max,pct_positive,pct_negative,pct_tied,cohens_dz,wilcoxon_stat,wilcoxon_p,tie_tolerance
raw,6,2/4,1,similarity_1e5_to_clean,339,0.640157,0.079445,0.004315,0.634600,0.573982,0.702190,0.473494,0.826250,,,,,,,
raw,6,2/4,1,similarity_render_to_clean,339,0.779081,0.048858,0.002654,0.785155,0.746178,0.816476,0.612969,0.886655,,,,,,,
raw,6,2/4,1,delta_render_over_1e5,339,0.138924,0.080864,0.004392,0.135356,0.087095,0.193012,-0.092245,0.358395,95.280236,4.424779,0.294985,1.717985,397.000000,0.000000,0.001
raw,6,2/4,1,different_scene_1e5_to_clean,339,0.585940,0.083068,0.004512,0.579387,0.523543,0.656223,0.424844,0.785293,,,,,,,
raw,6,2/4,1,different_scene_render_to_clean,339,0.723651,0.055449,0.003012,0.728295,0.683928,0.765942,0.569411,0.857396,,,,,,,
raw,6,2/4,1,scene_advantage_1e5,339,0.054217,0.049683,0.002698,0.052533,0.020231,0.085249,-0.101272,0.236195,,,,,,,
raw,6,2/4,1,scene_advantage_render,339,0.055430,0.068793,0.003736,0.048465,0.006825,0.102522,-0.094718,0.262345,,,,,,,
raw,6,2/4,1,delta_scene_advantage,339,0.001213,0.096636,0.005249,-0.002464,-0.067702,0.072638,-0.322662,0.322637,48.082596,51.327434,0.589971,0.012551,28643.000000,0.924117,0.001
raw,6,2/4,1,similarity_1e5_to_render,339,0.497686,0.083969,0.004561,0.482853,0.429141,0.569277,0.315314,0.716355,,,,,,,
centered,6,2/4,1,similarity_1e5_to_clean,339,0.685642,0.044490,0.002416,0.683886,0.649649,0.717719,0.567105,0.792845,,,,,,,
centered,6,2/4,1,similarity_render_to_clean,339,0.782695,0.038650,0.002099,0.786929,0.757005,0.811718,0.666263,0.865710,,,,,,,
centered,6,2/4,1,delta_render_over_1e5,339,0.097053,0.047294,0.002569,0.093656,0.065554,0.126340,-0.036500,0.229482,98.230088,1.769912,0.000000,2.052133,74.000000,0.000000,0.001
centered,6,2/4,1,different_scene_1e5_to_clean,339,0.622466,0.044398,0.002411,0.618805,0.591061,0.648967,0.483824,0.733739,,,,,,,
centered,6,2/4,1,different_scene_render_to_clean,339,0.710614,0.056083,0.003046,0.713519,0.671099,0.753739,0.563659,0.837215,,,,,,,
centered,6,2/4,1,scene_advantage_1e5,339,0.063176,0.043684,0.002373,0.057415,0.031572,0.086081,-0.035631,0.274719,,,,,,,
centered,6,2/4,1,scene_advantage_render,339,0.072081,0.064315,0.003493,0.066083,0.021190,0.116363,-0.072779,0.260922,,,,,,,
centered,6,2/4,1,delta_scene_advantage,339,0.008905,0.054796,0.002976,0.006207,-0.026906,0.045457,-0.117517,0.200296,53.097345,46.017699,0.884956,0.162518,24267.000000,0.011784,0.001
centered,6,2/4,1,similarity_1e5_to_render,339,0.657042,0.027828,0.001511,0.660097,0.636668,0.677675,0.550309,0.714218,,,,,,,
raw,3,1/4,0,similarity_1e5_to_clean,339,0.521832,0.135553,0.007362,0.520399,0.399836,0.638194,0.252076,0.812630,,,,,,,
raw,3,1/4,0,similarity_render_to_clean,339,0.784332,0.061239,0.003326,0.790044,0.744895,0.830281,0.572941,0.899943,,,,,,,
raw,3,1/4,0,delta_render_over_1e5,339,0.262500,0.136154,0.007395,0.256079,0.165375,0.368167,-0.043533,0.635664,98.230088,1.769912,0.000000,1.927962,54.000000,0.000000,0.001
raw,3,1/4,0,different_scene_1e5_to_clean,339,0.454632,0.142642,0.007747,0.449076,0.330620,0.580488,0.184709,0.750604,,,,,,,
raw,3,1/4,0,different_scene_render_to_clean,339,0.721082,0.066047,0.003587,0.730413,0.678817,0.767205,0.498887,0.876722,,,,,,,
raw,3,1/4,0,scene_advantage_1e5,339,0.067199,0.074450,0.004044,0.063689,0.017535,0.113026,-0.178162,0.336670,,,,,,,
raw,3,1/4,0,scene_advantage_render,339,0.063250,0.086689,0.004708,0.053182,0.000749,0.122368,-0.149290,0.333641,,,,,,,
raw,3,1/4,0,delta_scene_advantage,339,-0.003949,0.141776,0.007700,-0.008205,-0.099723,0.093371,-0.485960,0.511803,48.082596,51.622419,0.294985,-0.027855,27913.000000,0.617425,0.001
raw,3,1/4,0,similarity_1e5_to_render,339,0.349996,0.146668,0.007966,0.330814,0.226575,0.479868,0.109240,0.674517,,,,,,,
centered,3,1/4,0,similarity_1e5_to_clean,339,0.593229,0.078692,0.004274,0.596258,0.524701,0.661455,0.425525,0.759049,,,,,,,
centered,3,1/4,0,similarity_render_to_clean,339,0.757286,0.052953,0.002876,0.763163,0.722485,0.799486,0.591234,0.866313,,,,,,,
centered,3,1/4,0,delta_render_over_1e5,339,0.164057,0.080754,0.004386,0.156891,0.107435,0.217952,-0.022618,0.414651,99.115044,0.884956,0.000000,2.031573,14.000000,0.000000,0.001
centered,3,1/4,0,different_scene_1e5_to_clean,339,0.503593,0.076190,0.004138,0.498563,0.451368,0.554476,0.343972,0.679258,,,,,,,
centered,3,1/4,0,different_scene_render_to_clean,339,0.666212,0.072143,0.003918,0.671201,0.615943,0.724376,0.446592,0.818334,,,,,,,
centered,3,1/4,0,scene_advantage_1e5,339,0.089637,0.065157,0.003539,0.080548,0.040958,0.130930,-0.041616,0.352254,,,,,,,
centered,3,1/4,0,scene_advantage_render,339,0.091073,0.084928,0.004613,0.082549,0.023409,0.144554,-0.141396,0.332345,,,,,,,
centered,3,1/4,0,delta_scene_advantage,339,0.001437,0.085529,0.004645,-0.000327,-0.060026,0.057918,-0.234447,0.331875,49.262537,49.557522,1.179941,0.016800,28669.000000,0.935561,0.001
